,Ind_ID,Gender,Car_Owner,Property_Owner,Children,Annual_Income,Type_Income,Education,Marital_status,Housing_type,Birthday_count,Employed_days,Mobile_phone,Work_Phone,Phone,Email_ID,Type_Occupation,Family_Members,Label
0,5008827,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,-18772.0,365243,1,0,0,0,Laborers,2,1
1,5008865,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761.0,-3173,1,0,0,0,Laborers,4,0
2,5008889,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,-17016.0,-1347,1,0,0,0,Core staff,1,0
3,5009000,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-9927.0,-828,1,0,0,0,Drivers,2,0
4,5009023,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,-15444.0,-3112,1,0,0,1,Laborers,4,0
5,5009053,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,-10997.0,-2289,1,0,0,1,Core staff,4,0
6,5009074,F,Y,Y,1,450000.0,State servant,Higher education,Married,House / apartment,-17726.0,-708,1,0,1,1,Core staff,3,0
7,5009118,F,N,N,0,157500.0,Commercial associate,Higher education,Separated,With parents,-15737.0,-432,1,0,0,0,Laborers,1,0
8,5009146,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,-15825.0,-3720,1,1,1,0,Managers,2,0
9,5009195,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,-20953.0,-8684,1,1,1,0,Accountants,2,0
11,5009269,M,Y,N,0,337500.0,State servant,Higher education,Married,With parents,-10266.0,-1652,1,1,1,0,Managers,2,0
12,5009291,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15140.0,-4816,1,0,1,0,Cleaning staff,2,0
13,5009301,F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-16099.0,-1866,1,0,1,0,Laborers,1,0
14,5009319,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20140.0,365243,1,0,1,1,Laborers,2,0
15,5009443,F,N,N,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,-9489.0,-1682,1,0,1,0,Laborers,2,0
16,5009472,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-19702.0,-9870,1,1,1,0,Laborers,2,0
17,5009567,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-15153.0,-3143,1,1,1,0,Laborers,2,0
18,5009579,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21316.0,365243,1,0,0,0,Laborers,2,0
19,5009586,F,N,N,0,45000.0,Working,Secondary / secondary special,Separated,House / apartment,-14374.0,-798,1,0,1,0,Sales staff,1,0
20,5009663,M,N,N,0,225000.0,Working,Higher education,Single / not married,House / apartment,-10166.0,-1774,1,1,0,0,Laborers,1,0
21,5009706,F,N,N,0,157500.0,Working,Higher education,Married,House / apartment,-11644.0,-344,1,0,0,0,Managers,2,0
22,5009739,F,Y,N,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,-14657.0,-4392,1,1,1,0,Core staff,2,0
23,5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,-586,1,1,1,0,Laborers,2,1
24,5009746,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-16040.342070773264,-586,1,1,1,0,Laborers,2,1
25,5009749,F,Y,N,0,191399.3262295082,Commercial associate,Higher education,Married,House / apartment,-13557.0,-586,1,1,1,0,Laborers,2,1
27,5009753,F,Y,N,0,315000.0,Pensioner,Higher education,Married,House / apartment,-13557.0,-586,1,1,1,0,Laborers,2,1
29,5009790,F,N,N,0,198000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22002.0,365243,1,0,1,0,Laborers,1,0
32,5009821,F,Y,N,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,-14883.0,-5457,1,0,1,0,Cooking staff,2,0
33,5009845,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-15901.0,-130,1,1,0,0,Security staff,2,0
34,5009894,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22134.0,365243,1,0,0,0,Laborers,2,1
35,5009908,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-19120.0,-3661,1,0,0,0,Drivers,2,0
36,5009918,F,N,Y,2,99000.0,Commercial associate,Higher education,Married,House / apartment,-12752.0,-433,1,0,1,0,Accountants,4,0
37,5009941,F,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10710.0,-2351,1,0,0,0,Sales staff,4,0
38,5009980,F,Y,Y,0,180000.0,State servant,Secondary / secondary special,Married,House / apartment,-20644.0,-3873,1,0,0,0,Medicine staff,2,0
